,x1,y1,x2,y2
0,28,6,51,24
1,56,10,86,27
2,72,22,98,33
3,89,30,135,42
4,113,43,150,59
5,156,46,186,65
6,191,61,223,79
7,228,72,260,90
8,264,77,307,100
9,298,90,339,108
10,331,109,376,126
11,380,121,425,139
12,419,142,462,158
13,446,151,490,168
14,495,152,539,180
15,533,179,578,199
16,580,186,635,214
17,171,3,214,20
18,205,15,251,29
19,245,30,279,44
20,273,38,306,51
21,317,44,376,61
22,361,63,407,74
23,404,71,439,85
24,437,80,470,97
25,474,90,509,105
26,512,99,549,114
27,553,111,592,122
28,579,117,624,126
29,596,128,633,142
30,642,120,688,143
31,667,138,702,153
32,704,135,743,157
33,739,143,801,168
34,0,29,47,48
35,26,54,69,65
36,59,67,103,80
37,102,77,145,90
38,135,82,182,97
39,147,99,186,111
40,178,103,230,119
41,204,121,252,132
42,225,127,274,144
43,244,139,297,153
44,261,153,326,165
45,286,162,353,175
46,311,174,370,190
47,355,187,412,202
48,387,204,465,227
49,432,221,496,231
50,455,229,514,244
51,499,241,585,264
52,534,267,594,282
53,589,269,663,300
54,617,314,721,336
55,4,146,64,166
56,18,167,65,186
57,50,179,116,196
58,86,201,178,223
59,114,223,204,246
60,149,244,256,272
61,189,281,297,313
62,243,311,324,334
63,267,326,360,359
64,320,365,435,394
65,381,399,492,423
66,433,432,503,455
67,447,459,572,497
68,516,494,614,544
69,601,533,694,582
70,671,570,794,619
71,744,633,927,722
72,2,279,73,316
73,46,316,130,373
74,102,373,195,437
75,151,439,272,505
76,249,512,387,589
77,343,608,500,712
