,x1,y1,x2,y2
0,2,35,38,82
1,45,36,90,83
2,92,33,142,82
3,144,33,198,79
4,204,32,251,82
5,258,34,304,73
6,309,30,352,75
7,359,28,410,77
8,418,31,466,74
9,472,25,519,76
10,523,27,574,73
11,581,27,630,74
12,635,23,682,75
13,693,22,748,76
14,756,21,805,77
15,818,27,861,75
16,870,28,924,78
17,933,32,982,84
18,0,104,26,166
19,31,102,89,167
20,97,103,153,162
21,163,106,224,163
22,232,105,301,164
23,305,101,373,165
24,378,97,441,166
25,451,100,519,162
26,524,99,584,166
27,594,96,659,163
28,666,94,723,158
29,737,99,802,161
30,810,95,885,162
31,889,95,958,158
32,960,93,998,156
33,9,173,86,248
34,94,172,174,249
35,184,173,260,248
36,269,175,334,248
37,346,178,418,252
38,433,178,511,251
39,523,172,600,250
40,611,175,696,251
41,700,169,779,252
42,779,172,857,251
43,865,170,949,251
44,953,168,999,251
45,5,360,107,508
46,132,368,236,510
47,267,371,364,511
48,381,372,501,514
49,508,366,631,514
50,645,368,772,528
51,773,367,908,529
52,914,363,999,524
53,150,633,497,727
54,567,647,858,728
