,x1,y1,x2,y2
0,71,6,110,37
1,118,2,145,38
2,149,4,179,41
3,187,3,212,47
4,222,4,253,47
5,256,2,298,48
6,357,19,410,58
7,580,25,617,68
8,630,27,671,71
9,681,25,725,76
10,740,32,785,79
11,800,33,840,79
12,856,35,906,85
13,921,39,963,90
14,972,39,998,89
15,14,44,52,96
16,61,46,92,101
17,101,57,148,99
18,193,75,261,123
19,105,109,181,155
20,393,141,442,213
21,452,143,513,217
22,470,86,529,135
23,542,90,591,143
24,602,96,650,157
25,666,99,720,157
26,737,101,794,165
27,808,107,866,172
28,882,117,948,178
29,965,121,998,189
30,532,155,587,223
31,598,171,664,235
32,682,176,755,242
33,767,182,839,255
34,874,187,946,270
35,966,201,998,278
36,153,292,231,399
37,266,320,336,426
38,399,337,520,460
39,545,360,651,488
40,671,393,779,518
41,796,417,927,555
42,7,477,168,607
43,201,540,467,693
44,507,634,782,725
