,x1,y1,x2,y2
0,10,28,62,71
1,67,35,111,76
2,116,31,160,75
3,166,34,217,78
4,223,31,267,77
5,271,32,321,80
6,329,30,378,79
7,389,34,442,78
8,444,30,493,77
9,498,30,546,78
10,551,31,599,79
11,652,55,753,100
12,766,65,877,112
13,886,75,989,131
14,36,104,98,154
15,111,104,173,162
16,187,100,244,163
17,256,108,310,166
18,326,102,382,164
19,395,107,454,163
20,466,111,532,165
21,542,108,607,167
22,21,163,91,241
23,107,180,165,248
24,173,180,251,247
25,262,178,338,255
26,346,178,424,250
27,435,181,511,250
28,525,182,608,254
29,618,178,701,250
30,709,173,798,251
31,805,174,894,253
32,902,175,989,249
33,21,355,110,491
34,124,363,225,500
35,238,362,355,508
36,381,375,498,523
37,512,371,621,525
38,639,374,761,525
39,781,374,906,532
40,920,371,998,538
41,6,626,321,726
42,395,647,747,728
43,815,654,998,725
