,x1,y1,x2,y2
0,108,4,145,25
1,92,25,128,43
2,80,40,110,58
3,64,54,96,73
4,49,70,79,84
5,30,79,62,95
6,12,99,47,120
7,2,116,31,136
8,152,29,170,57
9,177,29,197,58
10,187,10,209,31
11,214,9,231,28
12,236,7,254,28
13,260,7,276,25
14,282,8,302,26
15,308,5,327,24
16,330,3,349,23
17,356,3,372,23
18,378,0,402,19
19,200,32,217,57
20,222,27,239,55
21,245,28,263,54
22,268,28,290,54
23,291,28,313,52
24,317,26,338,52
25,342,26,366,51
26,368,22,388,50
27,394,21,412,51
28,419,21,439,51
29,428,1,445,19
30,450,1,474,18
32,443,22,465,49
33,471,21,493,45
34,477,1,498,20
35,501,17,520,45
36,507,0,526,22
37,536,19,558,45
38,542,1,564,20
39,570,0,591,20
40,566,19,582,48
41,587,19,613,43
42,616,15,639,41
43,644,13,666,43
44,670,15,694,40
45,697,12,720,40
46,726,13,748,39
47,751,10,775,40
48,778,9,803,40
49,805,7,833,37
50,838,9,862,36
51,867,9,889,38
52,892,8,917,35
53,921,6,945,35
54,949,9,975,35
55,977,5,1002,33
56,1004,4,1033,35
57,1036,2,1059,34
58,1063,5,1092,32
59,121,80,147,106
60,150,79,172,103
61,177,75,196,103
62,201,76,224,99
63,230,73,248,99
64,251,75,278,96
65,279,73,303,95
66,308,72,330,94
67,332,71,356,95
68,359,69,383,93
69,388,71,410,95
70,414,70,440,93
71,446,67,473,95
72,477,70,503,93
73,71,104,93,134
74,98,108,123,133
75,126,106,150,134
76,154,102,176,133
77,180,103,202,130
78,206,100,228,128
79,233,102,254,131
80,259,98,284,127
81,288,97,315,127
82,316,96,341,129
83,343,96,370,127
84,372,96,397,129
85,402,96,427,129
86,433,97,457,127
87,463,97,491,127
88,511,68,539,94
90,500,96,528,127
91,543,63,567,93
94,537,98,560,126
95,566,90,588,126
96,593,86,615,124
97,574,64,598,87
98,602,63,625,87
99,628,63,652,88
100,653,61,681,89
101,686,58,709,87
102,714,58,743,86
103,753,54,771,89
104,774,56,801,86
105,807,56,830,84
106,836,54,863,82
107,868,54,893,82
108,899,55,927,80
109,931,51,958,85
110,961,54,988,81
111,994,51,1021,82
112,1026,52,1049,83
113,619,91,644,121
114,652,93,676,122
115,679,91,712,121
116,715,88,742,122
117,750,85,771,121
118,779,87,807,119
119,809,85,834,120
120,840,89,866,120
121,874,87,900,118
122,903,86,931,114
123,936,91,966,124
124,971,91,1001,119
125,1004,88,1033,117
126,30,163,59,193
