,x1,y1,x2,y2
0,21,384,95,457
1,96,342,168,406
2,169,303,241,349
3,235,260,296,307
4,288,227,345,263
5,335,195,387,232
6,381,167,424,207
7,417,141,457,174
8,484,143,536,175
9,459,169,506,205
10,430,197,476,236
11,379,230,434,268
12,326,270,396,305
13,273,323,352,358
14,198,361,280,403
15,135,447,212,514
16,33,490,135,576
17,697,177,764,227
18,863,162,932,201
19,824,196,889,225
20,813,218,884,252
21,785,235,845,275
22,764,269,830,313
23,744,321,814,374
24,715,385,792,437
25,688,444,779,505
26,651,512,744,594
27,561,371,669,421
28,597,333,679,370
29,630,290,716,330
30,643,249,722,282
31,686,222,762,251
32,580,603,714,700
33,368,621,538,695
35,1044,260,1108,302
36,1049,308,1128,350
37,1069,356,1152,407
38,1061,418,1154,465
39,1065,501,1174,557
41,1069,586,1182,657
