,x1,y1,x2,y2
0,67,86,119,109
1,67,110,120,137
2,135,19,165,72
3,178,21,208,71
4,223,17,252,68
5,265,18,297,68
6,307,15,339,66
7,343,13,369,67
8,372,9,400,66
9,405,12,429,64
10,435,11,458,60
11,461,13,487,62
12,491,10,518,61
13,521,10,551,57
14,555,9,584,54
15,586,8,612,54
16,615,9,643,51
17,648,11,675,61
18,678,11,699,57
19,4,266,59,292
20,5,293,57,323
21,3,329,62,352
22,4,355,59,378
23,3,381,60,407
24,1,412,58,439
25,1,442,58,465
26,4,469,59,494
27,0,501,54,530
28,2,533,57,559
29,106,258,163,283
30,109,288,162,314
31,106,315,162,341
32,107,342,164,369
33,108,375,164,400
34,105,405,162,429
35,104,433,161,461
36,105,463,161,491
37,104,495,160,520
38,101,524,154,551
39,100,554,154,571
40,169,256,227,283
41,169,287,226,307
42,172,314,225,338
43,172,342,224,371
44,168,377,223,399
45,168,405,224,430
46,173,435,226,459
47,170,465,227,491
48,168,496,228,523
49,168,528,227,557
50,285,251,316,304
51,319,250,348,303
52,351,247,380,301
53,383,248,412,301
54,413,248,440,296
55,444,245,473,296
56,479,244,504,292
57,506,243,536,294
58,540,241,571,292
59,572,239,602,290
60,607,237,634,290
61,637,235,665,288
62,668,234,697,290
63,286,372,316,426
64,322,371,350,428
65,355,370,382,428
66,385,369,414,423
67,419,370,445,420
68,448,365,478,420
69,483,366,510,422
70,513,366,543,423
71,547,363,577,420
72,578,363,609,419
73,610,364,640,418
74,643,361,672,414
75,678,362,704,417
76,294,442,327,493
77,329,440,357,493
78,358,441,387,492
79,391,439,419,489
80,421,438,451,488
81,457,436,482,492
82,485,433,514,491
83,517,435,545,488
84,549,433,577,491
85,585,434,609,486
86,616,435,648,488
87,651,431,677,482
88,681,429,707,483
89,774,247,844,278
90,773,280,844,310
91,774,314,843,342
92,776,346,837,374
93,775,379,841,409
94,774,415,839,442
95,768,445,839,472
96,766,481,838,509
97,771,513,837,542
98,769,547,838,571
