,x1,y1,x2,y2
0,36,30,88,77
1,100,30,148,78
2,152,31,199,79
3,209,33,256,77
4,267,31,316,77
5,326,31,375,82
6,384,30,429,82
7,435,29,485,79
8,490,32,540,80
9,547,34,595,78
10,602,33,647,82
11,656,33,702,82
12,706,32,753,80
13,761,36,803,80
14,809,36,852,77
15,855,31,900,83
16,905,34,954,85
17,964,40,998,100
18,20,107,76,165
19,92,108,158,164
20,167,108,228,170
21,241,104,305,170
22,316,107,376,167
23,394,107,455,169
24,465,106,523,171
25,531,108,598,167
26,604,108,664,168
27,672,107,737,167
28,740,104,804,166
29,812,100,871,170
30,878,105,940,171
31,943,110,996,176
32,29,176,106,246
33,121,176,199,246
34,214,175,288,243
35,311,177,378,243
36,391,175,467,246
37,478,177,554,247
38,567,179,649,244
39,657,171,727,248
40,733,173,814,244
41,820,177,901,250
42,907,178,981,251
43,3,388,89,548
44,118,395,229,544
45,263,394,381,540
46,407,385,533,532
47,544,385,687,530
48,765,382,884,515
49,893,361,998,506
50,19,665,352,727
51,402,669,754,728
